"State","X30.01.20","X31.01.20","X01.02.20","X02.02.20","X03.02.20","X04.02.20","X05.02.20","X06.02.20","X07.02.20","X08.02.20","X09.02.20","X10.02.20","X11.02.20","X12.02.20","X13.02.20","X14.02.20","X15.02.20","X16.02.20","X17.02.20","X18.02.20","X19.02.20","X20.02.20","X21.02.20","X22.02.20","X23.02.20","X24.02.20","X25.02.20","X26.02.20","X27.02.20","X28.02.20","X29.02.20","X01.03.20","X02.03.20","X03.03.20","X04.03.20","X05.03.20","X06.03.20","X07.03.20","X08.03.20","X09.03.20","X10.03.20","X11.03.20","X12.03.20","X13.03.20","X14.03.20","X15.03.20","X16.03.20","X17.03.20","X18.03.20","X19.03.20","X20.03.20","X21.03.20","X22.03.20","X23.03.20","X24.03.20","X25.03.20","X26.03.20","X27.03.20","X28.03.20","X29.03.20","X30.03.20","X31.03.20","X01.04.20","X02.04.20","X03.04.20","X04.04.20","X05.04.20","X06.04.20","X07.04.20","X08.04.20","X09.04.20","X10.04.20","X11.04.20","X12.04.20","X13.04.20","X14.04.20","X15.04.20","X16.04.20","X17.04.20","X18.04.20","X19.04.20","X20.04.20","X21.04.20","X22.04.20","X23.04.20","X24.04.20","X25.04.20","X26.04.20"
"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,4,6,6,6,7,9,9,14,14,15,15,20,22,24,27,29,31,31
"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bihar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"Chandigarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chhattisgarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delhi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,6,7,7,7,9,9,13,14,19,24,28,30,32,42,42,43,47,47,47,50,53,53,54
"Goa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gujarat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,5,6,6,6,7,8,10,11,12,13,13,16,17,19,22,26,26,30,36,41,53,58,71,77,95,112,127,127,151
"Haryana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
