"S. No.","Name of State / UT","Total Confirmed cases (Including 111 foreign Nationals) ","Cured/Discharged/Migrated","Death"
"1","Andaman and Nicobar Islands","33","15","0"
"2","Andhra Pradesh","1332","287","31"
"3","Arunachal Pradesh","1","1","0"
"4","Assam","38","27","1"
"5","Bihar","383","64","2"
"6","Chandigarh","56","17","0"
"7","Chhattisgarh","38","34","0"
"8","Delhi","3314","1078","54"
"9","Goa","7","7","0"
"10","Gujarat","3774","434","181"
"11","Haryana","310","209","3"
"12","Himachal Pradesh","40","25","1"
"13","Jammu and Kashmir","565","176","8"
"14","Jharkhand","105","19","3"
"15","Karnataka","532","215","20"
"16","Kerala","486","359","4"
"17","Ladakh","22","16","0"
"18","Madhya Pradesh#","2561","377",NA
"19","Maharashtra","9318","1388","400"
"20","Manipur","2","2","0"
"21","Meghalaya","12","0","1"
"22","Mizoram","1","0","0"
"23","Odisha","119","38","1"
"24","Puducherry","8","3","0"
"25","Punjab","322","71","19"
"26","Rajasthan","2364","768","51"
"27","Tamil Nadu","2058","1168","25"
"28","Telengana","1012","367","26"
"29","Tripura","2","2","0"
"30","Uttarakhand","54","34","0"
"31","Uttar Pradesh","2115","477","36"
"32","West Bengal","725","119","22"
